Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"deptIndex = addPolicyPage.getRowIndexOfScenarioName(data, ""departmentValue"")",Chrome 126.0.0.0,,,2024-08-16 02:26:28,2024-08-16 02:26:28,0.001s,PASSED
"department = data.getValue(""department"", deptIndex)",Chrome 126.0.0.0,,,2024-08-16 02:26:28,2024-08-16 02:26:28,0.000s,PASSED
addPolicyPage.selectDepartment(department),Chrome 126.0.0.0,,,2024-08-16 02:26:28,2024-08-16 02:26:40,12.754s,PASSED
addPolicyPage.removeSubLineOfLob(),Chrome 126.0.0.0,,,2024-08-16 02:26:40,2024-08-16 02:26:42,1.116s,PASSED
addPolicyPage.removeSubLineOfLob(),Chrome 126.0.0.0,,,2024-08-16 02:26:42,2024-08-16 02:26:43,1.100s,PASSED
"addPolicyPage.addPkgLob(5, subLine, ""fieldValue"")",Chrome 126.0.0.0,,,2024-08-16 02:26:43,2024-08-16 02:27:10,27.703s,PASSED
addPolicyPage.clickPolicyEditSubmit(),Chrome 126.0.0.0,,,2024-08-16 02:27:10,2024-08-16 02:27:13,2.299s,PASSED
apeTabs.goToAutoCommercialPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:13,2024-08-16 02:27:16,3.238s,PASSED
apeTabs.goToVehiclesPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:16,2024-08-16 02:27:19,3.302s,PASSED
vehiclesTab.clicAddVehicle(),Chrome 126.0.0.0,,,2024-08-16 02:27:19,2024-08-16 02:27:22,2.455s,PASSED
"vehiclesTab.selectOption(""commercialVehicleType"", ""Private Passenger"")",Chrome 126.0.0.0,,,2024-08-16 02:27:22,2024-08-16 02:27:22,0.186s,PASSED
"vehicleFieldValue = vehiclesTab.addVehicleValue(apeData, ""vehicleValue1"")",Chrome 126.0.0.0,,,2024-08-16 02:27:22,2024-08-16 02:27:23,1.203s,PASSED
"id = vehicleFieldValue.get(""vehicleId"")",Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.001s,PASSED
vehicleValue.add(id),Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.000s,PASSED
"year = vehicleFieldValue.get(""vehicleYear"")",Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.000s,PASSED
vehicleValue.add(year),Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.000s,PASSED
"make = vehicleFieldValue.get(""vehicleMake"")",Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.000s,PASSED
vehicleValue.add(make),Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.001s,PASSED
"model = vehicleFieldValue.get(""vehicleModel"")",Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.000s,PASSED
vehicleValue.add(model),Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.000s,PASSED
"vehiclesTab.clickElement(""save"")",Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:23,0.164s,PASSED
apeTabs.goToGeneralLiabilityPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:23,2024-08-16 02:27:25,2.200s,PASSED
apeTabs.goToCommercialPropertyPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:25,2024-08-16 02:27:28,2.538s,PASSED
apeTabs.goTUumbrellaCommercialPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:28,2024-08-16 02:27:30,2.344s,PASSED
apeTabs.goToUnderwritingPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:30,2024-08-16 02:27:33,2.221s,PASSED
apeTabs.goToAdditionalInterestPolicyPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:33,2024-08-16 02:27:33,0.186s,PASSED
apeTabs.clickSaveAndClose(),Chrome 126.0.0.0,,,2024-08-16 02:27:33,2024-08-16 02:27:34,1.321s,PASSED
policySummaryPage.waitForPolicyToProcessSummary(),Chrome 126.0.0.0,,,2024-08-16 02:27:34,2024-08-16 02:27:41,6.917s,PASSED
verifyVehicleText = policySummaryPage.generateFullPolicyDocument(vehicleValue),Chrome 126.0.0.0,,,2024-08-16 02:27:41,2024-08-16 02:27:45,4.141s,PASSED
resList.add(String.valueOf(verifyVehicleText)),Chrome 126.0.0.0,,,2024-08-16 02:27:45,2024-08-16 02:27:45,0.000s,PASSED
policySummaryPage.changeRequest(),Chrome 126.0.0.0,,,2024-08-16 02:27:45,2024-08-16 02:27:48,2.851s,PASSED
policySummaryPage.clickEditChangeRequest(),Chrome 126.0.0.0,,,2024-08-16 02:27:48,2024-08-16 02:27:49,1.430s,PASSED
apeTabs.goToAutoCommercialPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:49,2024-08-16 02:27:53,3.401s,PASSED
apeTabs.goToVehiclesPage(),Chrome 126.0.0.0,,,2024-08-16 02:27:53,2024-08-16 02:27:56,3.231s,PASSED
vehiclesTab.clicAddVehicle(),Chrome 126.0.0.0,,,2024-08-16 02:27:56,2024-08-16 02:27:58,2.395s,PASSED
"vehiclesTab.selectOption(""commercialVehicleType"", ""Private Passenger"")",Chrome 126.0.0.0,,,2024-08-16 02:27:58,2024-08-16 02:27:59,0.192s,PASSED
"vehicleFieldValue1 = vehiclesTab.addVehicleValue(apeData, ""vehicleValue2"")",Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.863s,PASSED
"id1 = vehicleFieldValue1.get(""vehicleId"")",Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.000s,PASSED
vehicleValue1.add(id1),Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.000s,PASSED
"year1 = vehicleFieldValue1.get(""vehicleYear"")",Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.001s,PASSED
vehicleValue1.add(year1),Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.000s,PASSED
"make1 = vehicleFieldValue1.get(""vehicleMake"")",Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.000s,PASSED
vehicleValue1.add(make1),Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.001s,PASSED
"model1 = vehicleFieldValue1.get(""vehicleModel"")",Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.000s,PASSED
vehicleValue1.add(model1),Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:27:59,0.000s,PASSED
"vehiclesTab.clickElement(""save"")",Chrome 126.0.0.0,,,2024-08-16 02:27:59,2024-08-16 02:28:00,0.189s,PASSED
apeTabs.clickSaveAndClose(),Chrome 126.0.0.0,,,2024-08-16 02:28:00,2024-08-16 02:28:01,1.352s,PASSED
apeTabs.switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-08-16 02:28:01,2024-08-16 02:28:02,0.633s,PASSED
verifyAction = policySummaryPage.verifyChangeRequest(),Chrome 126.0.0.0,,,2024-08-16 02:28:02,2024-08-16 02:28:12,10.100s,PASSED
resList.add(String.valueOf(verifyAction)),Chrome 126.0.0.0,,,2024-08-16 02:28:12,2024-08-16 02:28:12,0.001s,PASSED
"policySummaryPage.clickElement(""policyHistory"")",Chrome 126.0.0.0,,,2024-08-16 02:28:12,2024-08-16 02:28:12,0.595s,PASSED
"waitForPageLoad(longTimeOut, OPTIONAL)",Chrome 126.0.0.0,,,2024-08-16 02:28:12,2024-08-16 02:28:12,0.016s,PASSED
policyHistoryPage.acceptChangeRequestByTransValue(transactionValue),Chrome 126.0.0.0,,,2024-08-16 02:28:12,2024-08-16 02:28:15,2.189s,PASSED
premium = ut.getRandomNumber(3),Chrome 126.0.0.0,,,2024-08-16 02:28:15,2024-08-16 02:28:15,0.001s,PASSED
"waitForPageLoad(longTimeOut, OPTIONAL)",Chrome 126.0.0.0,,,2024-08-16 02:28:15,2024-08-16 02:28:15,0.164s,PASSED
